state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
ND,Trygve Hammer,false,false,Democratic,U.S. House,1,White,Male,https://www.hammerfornd.com/,https://x.com/TrygveHammer,https://www.facebook.com/HammerForND/,https://www.instagram.com/hammer4nd/,https://www.youtube.com/@TrygveHammer,https://www.tiktok.com/@hammer.for.nd,https://bsky.app/profile/hammerfornd.bsky.social/post/3lkjilyt7tk2z,the twitter may not be currently active
ND,Alex Balazs,false,false,Republican,U.S. House,1,White,Male,https://www.alexfornorthdakota.com/,https://twitter.com/AlexForND,https://www.facebook.com/AlexForNorthDakota,https://www.instagram.com/alexforcongress/,https://www.youtube.com/@AlexBalazsForCongress,,,there is a truth social linked on the campaign website - https://truthsocial.com/@AlexForCongress
ND,Julie Fedorchak,true,false,Republican,U.S. House,1,White,Female,,,,,,,,
