CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Mallory Dittmer,,,Democratic,House,5,White,Female,https://www.dittmerforcongress.com/,https://x.com/dittmerforsc,https://www.facebook.com/dittmerforcongress,https://www.instagram.com/dittmerforcongress/,https://www.youtube.com/@MalloryDittmer,99,https://bsky.app/profile/dittmerforcongress.bsky.social,
Jim Clyburn,Yes,,Democratic,House,6,Black,Male,,,,,,,,
Frederick R Goodwin,,,Democratic,House,6,99,99,99,99,99,99,99,99,99,no info
John Peterson,,,Republican,House,6,White,Male,https://www.johnpeterson.org/,99,99,99,99,99,99,
Maurice Washington,,,Republican,House,6,99,99,99,99,99,99,99,99,99,no info
Russell Fry,Yes,,Republican,House,7,White,Male,,,,,,,,
Lindsey Graham,Yes,,Republican,Senate,,White,Male,,,,,,,,
Annie Andrews,,,Democratic,Senate,,White,Female,https://drannieandrews.com/,https://x.com/AnnieAndrewsMD,https://www.facebook.com/AnnieAndrewsMD,https://www.instagram.com/annieandrewsmd/,https://www.youtube.com/@AnnieAndrewsSC,https://www.tiktok.com/@annie.andrewsmd,https://bsky.app/profile/drannieandrews.com,
Brandon P Brown,,,Democratic,Senate,,Not sure,Male,https://brandonpbrown.com/,https://x.com/brownforsc,https://www.facebook.com/profile.php?id=61577620127455,https://www.instagram.com/brandonbrownforsc/,99,https://www.tiktok.com/@brandonbrownforsc,https://bsky.app/profile/brandonbrownforsc.bsky.social,
Calvin Cowen,,,Republican,Senate,,99,99,99,99,99,99,99,99,99,no info
Paul Dans,,,Republican,Senate,,White,Male,https://www.pauldans.com/,https://x.com/PaulDansUSA,https://www.facebook.com/pauldansforussenate/,https://www.instagram.com/pauldansforussenate/,https://www.youtube.com/@PaulDansforUSSenate,https://www.tiktok.com/@dansforsenate,99,facebook is private
Thomas Keith Dismukes,,,Republican,Senate,,White,Male,https://www.justcallmethomas.com/,https://x.com/ThomasDismukes,https://www.facebook.com/profile.php?id=61579674464436#,https://www.instagram.com/thomas_dismukes_for_senate/,https://www.youtube.com/@ThomasDismukesforUSSenate,https://www.tiktok.com/@thomas.dismukes,99,
Kyle Freeman,,,Democratic,Senate,,White,Male,https://kylefreemanforsenate.com/,https://x.com/KyleforSC,https://www.facebook.com/profile.php?id=61573723231707,https://www.instagram.com/kyleforsc/,https://www.youtube.com/@KyleForSC,https://www.tiktok.com/@kyleforsc,99,
Pat Herrmann,,,Republican,Senate,,White,Male,https://www.votepat.us/,https://x.com/Herrmann4Senate,https://www.facebook.com/patrick.herrmann.311,99,99,https://www.tiktok.com/@patrickherrmann48,99,
Mark Lynch,,,Republican,Senate,,White,Male,https://www.lynchforsenate.com/,https://x.com/marklynchsc,https://www.facebook.com/marklynchsc,https://www.instagram.com/marklynchsc/,https://www.youtube.com/@MarkLynchSC,99,99,
Darius L Mitchell,,,Republican,Senate,,Black,Male,99,99,99,https://www.instagram.com/hiphoprepublicans/,99,https://www.tiktok.com/@embargoinc,99,
