CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Justin Douglas,,,Democrat,House,10,White,Male,https://www.justindouglas.us/,https://x.com/justindouglas4u,https://www.facebook.com/justindouglas4us/,https://www.instagram.com/justindouglas4us/,99,https://www.tiktok.com/@justindouglas4us,https://bsky.app/profile/thejustindouglas.bsky.social,N/A
Janelle Stelson,,,Democrat,House,10,White,Female,https://janellestelson.com/,https://x.com/janellestelson?s=21,https://www.facebook.com/janellestelson,https://www.instagram.com/janellestelson,99,99,99,"She has more social media accounts, but they haven't been updated since her 2024 run."
Lloyd C Smucker,Yes,,Republican,House,11,White,Male,,,,,,,,N/A
Nancy Ellen Mannion,,,Republican,House,11,White,Female,https://www.nancymannion.com/,99,https://www.facebook.com/nancymannionpa,https://www.instagram.com/nancymannionpa,99,99,99,N/A
Summer Lee,Yes,,Democrat,House,12,Black,Female,,,,,,,,N/A
William Parker,,,Republican,House,12,Black,Male,https://vote4willparker.com/,https://x.com/Vote4WillParker,99,https://www.instagram.com/vote4willparker/,99,99,99,N/A
James Kevin Hayes,,,Republican,House,12,Black,Male,https://jameshayesforpa.com/,https://www.x.com/jameshayesforpa,https://www.facebook.com/jameshayesforpa,https://www.instagram.com/jameshayesforpa,99,99,99,N/A
John Joyce,Yes,,Republican,House,13,White,Male,,,,,,,,N/A
Elizabeth Rhoads Farnham,,,Democrat,House,13,White,Female,https://bethfarnhamforcongress.com/,99,https://www.youtube.com/@UnitePA13,https://www.instagram.com/bethfarnhamforcongress,https://www.youtube.com/@UnitePA13,"Reschenthaler,",https://bsky.app/profile/bethfarnham4pa13th.bsky.social,That is her campaign YouTube channel but it's not under her name.
Guy Lorin Reschenthaler,Yes,,Republican,House,14,White,Male,,,,,,,,N/A
David Alan Bradstock,,,Democrat,House,14,White,Male,https://www.bradstockforcongress.com/,https://x.com/BradstockPA14,https://www.instagram.com/bradstock4congress,https://www.instagram.com/bradstock4congress,https://www.youtube.com/channel/UCfGfY1rBofwtD0LaXsEyvcA,99,https://bsky.app/profile/bradstock.bsky.social,N/A
Glenn William Thomson Jr,Yes,,Republican,House,15,White,Male,,,,,,,,N/A
Ray Bilger,,,Democrat,House,15,White,Male,https://bilgerforcongress.com/,99,https://www.facebook.com/people/Ray-Bilger-for-Congress/61588097334475/,https://www.instagram.com/raybilgerforcongress/,https://www.youtube.com/channel/UCmoCOnPSVl-BiruZmbsmasw,https://www.tiktok.com/@raybilgerforcongress,99,N/A
George Joseph Kelly Jr,Yes,,Republican,House,16,White,Male,,,,,,,,N/A
Justin Reed Wagner,,,Democrat,House,16,White,Male,https://www.justinwagnerforcongress.com/,99,https://www.facebook.com/JWforCongress,https://www.instagram.com/justinwagnerforcongress/,https://www.youtube.com/@JustinWagnerForCongress,https://www.tiktok.com/@justinwagnerforcongress,99,N/A
Christopher Raphael Deluzio,Yes,,Democrat,House,17,White,Male,,,,,,,,N/A
Anthony G Guy,,,Republican,House,17,Not Sure,Male,https://tonyguyforcongress.com/,https://x.com/TonyGuyPA,https://www.facebook.com/SheriffTonyGuy,99,https://www.youtube.com/@TonyGuyforCongress,99,99,N/A
Jesse James Vodvarka,,,Republican,House,17,White,Male,https://www.jessejamesvodvarka.com/,99,https://www.facebook.com/people/Jesse-James-Vodvarka/61576488218689/,99,https://www.youtube.com/channel/UCCRDzaGnOYjrjx05_4XhUzg,https://www.tiktok.com/@jesse.james.vodvarka,99,N/A
