CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Cory Booker,Yes,,Democrat,Senate,,Black,Male,,,,,,,,N/A
Robert S. Lebovics,,,Republican,Senate,,White,Male,https://lebovicsforsenate.com/,https://x.com/drboblebovics,https://www.facebook.com/drboblebovics,https://www.instagram.com/drboblebovics/,99,99,99,N/A
Justin Murphy,,,Republican,Senate,,White,Male,https://jerseyjustin4senate.org/,https://x.com/JerseyJustinUSA,99,https://www.instagram.com/justsenate,99,99,99,"He has other social media accounts, but they haven't been updated since his 2024 run."
Richard Tabor,,,Republican,Senate,,Black,Male,https://www.taborforsenate.com/,99,99,https://www.instagram.com/richtabor4nj,99,99,99,N/A
Alex Zdan,,,Republican,Senate,,White,Male,https://zdanforsenate.com/,https://x.com/ActualAlexZ,https://www.facebook.com/people/Alex-Zdan-for-US-Senate/61587953410661/,https://www.instagram.com/alexzdanforussenate,https://www.youtube.com/channel/UCpbx0gujfuUiBRyNy-wlQLQ,99,99,N/A
Donald Norcross,Yes,,Democrat,House,1,White,Male,,,,,,,,N/A
Damon Galdo,,,Republican,House,1,Not Sure,Male,https://votedamongaldo.com/,https://x.com/DamonGaldoNJ,https://www.facebook.com/DamonGaldo,https://www.instagram.com/officialdamongaldo/,,99,99,N/A
Jeff Van Drew,Yes,,Republican,House,2,White,Male,,,,,,,,N/A
Tim Alexander,,,Democrat,House,2,Black,Male,https://www.timalexander4congress.com/,https://x.com/talexander_NJ02,https://www.facebook.com/Tim4SouthJersey,https://www.instagram.com/timalexandernj02,https://www.youtube.com/@TACD2/,https://www.tiktok.com/@tim4congress2026,99,N/A
Zack Mullock,,,Democrat,House,2,White,Male,https://mullockforcongress.com/,https://x.com/ZMullock,https://www.facebook.com/MullockforCongress/,https://www.instagram.com/zmullock,https://www.youtube.com/@zackmullock5887,99,99,N/A
Terri Reese,,,Democrat,House,2,White,Female,https://terrireesefornjcd2.com/,https://x.com/terrireesenjcd2,https://www.facebook.com/terrireesefornjcd2/,https://www.instagram.com/terrilreesefornjcd2/,https://www.youtube.com/@terrireesefornjcd2,https://www.tiktok.com/@terrireesefornjcd2,99,N/A
Bayly Winder,,,Democrat,House,2,White,Male,https://winderforcongress.com/,https://x.com/winder4congress,https://www.facebook.com/people/Bayly-Winder-For-Congress/61578363337839/,https://www.instagram.com/winder4congress,https://www.youtube.com/@Winder4Congress,https://www.tiktok.com/@winder4congress,https://bsky.app/profile/winder4congress.bsky.social,N/A
Herb Conaway,Yes,,Democrat,House,3,Black,Male,,,,,,,,N/A
Justin Barbera,,,Republican,House,3,White,Male,https://justinbarbera.com/,https://x.com/tip1776,99,https://www.instagram.com/justin.barbera.75,https://www.youtube.com/@REPUBLICAN-JustinBarbera/,https://www.tiktok.com/@justinbarbera36,99,N/A
Jason Cullen,,,Republican,House,3,White,Male,https://cullen4congress.com/,https://x.com/cullen4congress,https://www.facebook.com/people/Cullen4Congress/61586720236310/,https://www.instagram.com/cullen4congress,99,https://www.tiktok.com/@cullen4congress,99,N/A
Michael McGuire,,,Republican,House,3,White,Male,https://michaelmcguireforcongress.com/,https://x.com/MikeMcGuireNJ,https://www.facebook.com/people/Michael-P-McGuire-for-Congress-NJ-03/61585312319321/,https://www.instagram.com/michaelmcguireforcongressnj03/,https://www.youtube.com/@MichaelMcGuireNJ,99,99,N/A
Christopher H. Smith,Yes,,Republican,House,4,White,Male,,,,,,,,N/A
John Blake,,,Democrat,House,4,White,Male,99,99,99,https://www.instagram.com/blake4congress2026/,99,https://www.tiktok.com/@blake4congress2026,99,N/A
Rachel Peace,,,Democrat,House,4,White,Female,https://www.peace4shore.com/,99,https://www.facebook.com/peace4shore,https://www.instagram.com/peace4shore/,https://www.youtube.com/@peace4shore,https://www.tiktok.com/@.peace4shore,99,N/A
Josh Gottheimer,,,Democrat,House,5,White,Male,,,,,,,,N/A
