CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Todd Ivey,,D,H,9,White,M,https://www.drtoddforcongress.com/,https://x.com/DrTodd4Congress,https://www.facebook.com/DrTodd4Congress,https://www.instagram.com/drtodd4congress,https://www.youtube.com/@DrTodd4Congress,99,https://bsky.app/profile/drtodd4congress.bsky.social,N/A
Marty Rocha,,D,H,9,Not Sure,M,99,99,99,99,99,99,99,N/A
Terry Virts,,D,H,9,White,M,https://www.terryvirts.com/,https://x.com/AstroTerry,https://www.facebook.com/AstroTerry,https://www.instagram.com/astro_terry/,https://www.youtube.com/@AstroTerry,99,https://bsky.app/profile/astroterry.bsky.social,"Virts was previously a candidate for Senate in this same cycle. A TikTok account from that campaign survives but hasn't been updated since he switched to District 9, so I chose not to include it."
Jaimy Blanco,,R,H,9,Hispanic,F,https://www.blancofortexas.com/,https://x.com/JaimyBlanco,https://www.facebook.com/jaimyblanco/,https://www.instagram.com/jaimyblanco,99,99,99,N/A
Briscoe Cain,,R,H,9,White,M,https://www.briscoecain.com/,https://x.com/BriscoeCain,99,99,99,https://www.tiktok.com/@briscoecain?lang=en,99,N/A
Michael A. Curran,,R,H,9,White,M,99,99,99,99,99,99,99,N/A
Alex Mealer,,R,H,9,Hispanic,F,https://alexandramealer.com/,https://x.com/AlexMealerTX,https://www.facebook.com/AlexMealerTX,https://www.instagram.com/AlexMealerTX/,https://www.youtube.com/@AlexMealerTX,99,99,N/A
Dan Mims,,R,H,9,White,M,https://www.danmimsfortexas.com/,https://x.com/Danmimsfortexas,https://www.facebook.com/DanMimsForTexas,https://www.instagram.com/danmimsfortexas,99,99,99,N/A
Crystal Deleón Sarmiento,,R,H,9,Hispanic,F,https://www.crystaluscongress.com/,99,https://www.facebook.com/people/Crystal-De-Le%C3%B3n-Sarmiento-For-Congress-CD09/61581523930626/,https://www.instagram.com/crystalforcongress/,https://www.youtube.com/channel/UCIst9uY2SNQGwXAOnvcBaiQ,99,99,N/A
Steve Stockman,,R,H,9,White,M,https://www.congressmanstockman.com/,99,99,99,99,99,99,N/A
Dwayne Stovall,,R,H,9,White,M,https://dwaynestovall.com/,https://x.com/DwayneStovall,https://www.facebook.com/TexansForStovall,https://www.instagram.com/dwaynestovallforcd9,https://www.youtube.com/@dwaynestovallTX,99,99,N/A
Terry Lee Thain,,R,H,9,White,M,https://www.voteterrythain.com/,99,99,https://www.instagram.com/thain.terry/,99,https://www.tiktok.com/@user9191785586817,99,N/A
Roy Morales,,I,H,9,Hispanic,M,99,99,99,99,99,99,99,N/A
Dawn Marshall,,D,H,10,White,F,https://www.texasneedsdawn.com/,https://x.com/texasneedsdawn,https://www.facebook.com/texasneedsdawn,https://www.instagram.com/texasneedsdawn,https://www.youtube.com/@texasneedsdawn,99,https://bsky.app/profile/texasneedsdawn.bsky.social,N/A
