CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Carl Lambrecht,Republican,U.S. House,10,,,99,99,99,99,99,99,99,
Tedora Brown,Republican,U.S. House,11,,Female,https://tedora4congress.com/,https://x.com/TedoraBrown,https://www.facebook.com/tedorabrownforcongress,https://www.instagram.com/canididatetedorambrown/,99,99,99,2nd campaign website: https://tedorabrown.com/ 
Charlie Kim,Republican,U.S. House,11,Asian American,Male,https://www.charlieincongress.us/,https://x.com/CharlieKimIL11,99,https://www.instagram.com/CharlieKimIL,https://www.youtube.com/@CharlieKimIL,99,99,
Mike Pierce,Republican,U.S. House,11,,Male,https://votepierce4congress.com/,https://x.com/LTCMikePierce,https://www.facebook.com/people/LTC-ret-Michael-Pierce-for-Congress/61576572666581/,https://www.instagram.com/pierceforcongress/,https://www.youtube.com/@pierce4congress752,https://www.tiktok.com/@ltcmikepierce,99,
Jeffrey Walter,Republican,U.S. House,11,,Male,https://www.jeffwalterforcongress.com/,https://x.com/jeffwalteril,https://www.facebook.com/JeffWalterIL/,https://www.instagram.com/jeffwalterforcongress,99,99,99,
Julie Fortier,Democratic,U.S. House,12,,Female,https://juliefortier.org/,https://juliefortier.org/,https://www.facebook.com/p/Julie-Fortier-61581039414613/,https://www.instagram.com/juliefortier2026/,99,https://www.tiktok.com/@juliefortier4congress,https://bsky.app/profile/fortier4congress.bsky.social,
Dylan Blaha,Democratic,U.S. House,13,,Male,https://www.dylanforillinois.com/,https://x.com/dylantblaha,99,https://www.instagram.com/dylanblahaforcongress,https://www.youtube.com/channel/UCak0glTeBhIZMSwOM9BKmmw,https://www.tiktok.com/@dylanblahaforcongress,https://bsky.app/profile/dylanthomasblaha.bsky.social,
Joshua Loyd,Republican,U.S. House,13,,Male,https://www.loydforcongress.com/,https://x.com/JoshuaLoyd_,https://www.facebook.com/LoydForCongress,https://www.instagram.com/LoydForCongress,,99,99,
Jeff Wilson,Republican,U.S. House,13,,Male,https://www.wilsonforcongress.com/,https://x.com/WilsonforIL13,https://www.facebook.com/JeffWilsonforCongressIL13/,https://www.instagram.com/wilsonforcongress,99,99,99,
James Marter,Republican,U.S. House,14,,Male,https://marter4congress.us/,https://x.com/Marter4Congress,https://www.facebook.com/JamesMarter4Congress,https://www.instagram.com/marter4congress,https://www.youtube.com/@marter4congress,99,99,
Gary Vician,Republican,U.S. House,14,,Male,https://www.vicianforcongress.com/,99,https://www.facebook.com/VicianforCongress/,99,99,99,99,
Paul Davis,Democratic,U.S. House,15,,Male,https://www.pauldavisforcongress.com/,https://x.com/PDavis4Congress,https://www.facebook.com/PaulDavisforCongress,https://www.instagram.com/pauldavisforcongress/,https://www.youtube.com/channel/UCzU2sN6aX2CS1qsLtoEWhbA,99,https://bsky.app/profile/pauldavis4congress,
Kyle Nudo,Democratic,U.S. House,15,,Male,https://kyleforillinois.com/,99,https://www.facebook.com/p/Kyle-Nudo-For-Illinois-61581139902242/,https://www.instagram.com/kyleforillinois/,https://www.youtube.com/@FriendsofKyleNudo,99,99,
Randy Raley,Democratic,U.S. House,15,,Male,https://electraley.com/,99,https://www.facebook.com/ElectRaley,https://www.instagram.com/electraley,https://www.youtube.com/@ElectRaley,https://www.tiktok.com/@elect.raley,https://bsky.app/profile/electraley.bsky.social,
Jennifer Todd,Democratic,U.S. House,15,,Female,https://www.jentodd2026.us/,99,https://www.facebook.com/jentoddforcongress/,https://www.instagram.com/jentodd2026,99,https://www.tiktok.com/@jentodd2026,https://bsky.app/profile/jentodd2026.bsky.social,
Judy Bowlby,Republican,U.S. House,15,,Female,https://bowlby2026.com/,99,https://www.facebook.com/bowlbyforcongress,https://www.instagram.com/judybowlbyforcongress/,99,99,99,
Ryan Tebrugge,Republican,U.S. House,15,,Male,https://www.ryantforcongress.com/,99,https://www.facebook.com/ryantebrugge4congress,99,99,https://www.tiktok.com/@ryantebrugge,99,
Paul Nolley,Democratic,U.S. House,16,,Male,https://www.nolleyforcongress.com/,https://x.com/paulnolley,https://www.facebook.com/nolleyforcongress/,https://www.instagram.com/nolleyforcongress,https://www.youtube.com/@NolleyforCongress,99,https://bsky.app/profile/nolleyforcongress.bsky.social,
Julie Bickelhaupt,Republican,U.S. House,17,,Female,https://www.julieforillinois.com/,99,https://www.facebook.com/people/Julie-Bickelhaupt-for-Congress/61579619641016/,https://www.instagram.com/julie_bickelhaupt_for_congress/,99,99,99,
Dillan Vancil,Republican,U.S. House,17,,Male,https://www.vancilforcongress.com/,https://x.com/DillanVancil,https://www.facebook.com/p/Dillan-Vancil-for-Congress-61569863107011/,https://www.instagram.com/vancilforcongress/,99,https://www.tiktok.com/@vancilforcongress,99,
