CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes,
Cherlynn Stevenson,Democrat,House,6,"white, non-Hispanic",Female,https://www.cherlynnstevenson.com,https://x.com/CherlynnForKY,https://www.facebook.com/CherlynnForKY,https://www.instagram.com/CherlynnforKY,https://www.youtube.com/@CherlynnforCongress,https://www.tiktok.com/@cherlynnforky,https://bsky.app/profile/cherlynnforky.bsky.social,facebook is locked,
Ralph Alvarado,Republican,House,6,hispanic,Male,https://alvaradoforcongress.com,https://x.com/AlvaradoForKY,https://www.facebook.com/RalphAlvaradoMD,99,99,99,99,,
Adam Perez Arquette,Republican,House,6,"white, non-Hispanic",Male,https://apaforcongress.com,https://x.com/adamarquette,https://www.facebook.com/profile.php?id=61581150556445,https://www.instagram.com/apaforcongress/,https://www.youtube.com/@Adamperezarquette/shorts,https://www.tiktok.com/@adamperezarquette,,"all accounts say campaign, but unknown if used for that",
Ryan Dotson,Republican,House,6,"white, non-Hispanic",Male,https://www.dotsonforky.com,https://x.com/Dotson4Congress,https://www.facebook.com/DotsonForKY/,99,99,https://www.tiktok.com/@rhinestoneky,99,,
Gregory George Plucinski,Republican,House,6,"white, non-Hispanic",Male,99,99,https://www.facebook.com/PlucinskiforCongress/,https://www.instagram.com/greg.plucinskiforcongress/,99,99,99,,
Steve Shannon,Republican,House,6,99,99,99,99,99,99,99,99,99,,
Joshua Blanton Sr.,Democrat,Senate,,"white, non-Hispanic",Male,https://joshuablantonsr.com/,https://x.com/JoshuaBlantonSr,99,https://www.instagram.com/joshua.w.blanton/,99,99,99,"facebook is unknown, had issue with it",
Charles Booker,Democrat,Senate,,black,Male,https://charlesbooker.org/,https://x.com/Booker4KY/,https://www.facebook.com/Booker4KY/,https://www.instagram.com/booker4ky/,https://www.youtube.com/channel/UCtw_5pir8O7aY9ZFePWCIgg,https://www.tiktok.com/@booker4ky?lang=en,https://bsky.app/profile/did:plc:gev2vhqd6nbwnj4dlbqs7kze,,
Logan Forsythe,Democrat,Senate,,"white, non-Hispanic",Male,https://loganforsythe.com/,https://x.com/loganforky,https://www.facebook.com/loganforsytheky,https://www.instagram.com/loganforsytheky/,https://www.youtube.com/@loganforky,https://www.tiktok.com/@loganforsytheky,99,,
Amy McGrath,Democrat,Senate,,"white, non-Hispanic",Female,https://amymcgrath.com/,https://x.com/AmyMcGrathKY,https://www.facebook.com/AmyMcGrathKY,https://www.instagram.com/amymcgrathky,https://www.youtube.com/channel/UCGuuiK0CsPhP60LdqVGRshA,https://www.tiktok.com/@amymcgrathky?lang=en,99,,
Dale Lewis Romans,Democrat,Senate,,"white, non-Hispanic",Male,https://daleromans.com/,https://x.com/DaleRomansKY,https://www.facebook.com/daleforkentucky,https://www.instagram.com/daleromans/,https://www.youtube.com/@DaleRomansKY,https://www.tiktok.com/@romansforky,https://bsky.app/profile/daleromans.bsky.social,,
Pamela Stevenson,Democrat,Senate,,black,Female,https://www.stevensonforsenate.com/,https://x.com/ColPamStevenson,https://www.facebook.com/PamForAG/,https://www.instagram.com/colpamstevenson,99,https://www.tiktok.com/@colpamstevenson,99,facebook is locked,
Vincent Anthony Thompson,Democrat,Senate,,99,Male,99,99,https://www.facebook.com/people/Vincent-Thompson-for-US-Senate/61574315394455/,https://www.instagram.com/vincent_thompson_us_senate/,99,99,99,,
Andy Barr,Republican,Senate,,"white, non-Hispanic",Male,https://barrforsenate.com/,https://x.com/barrforsenate,https://www.facebook.com/BarrForSenate/,https://www.instagram.com/barrforsenate,https://www.youtube.com/channel/UCSMMs0ToZAC-Jp5dWb-fMmw,99,99,,
Daniel Cameron,Republican,Senate,,black,Male,https://cameronforkentucky.com/,https://x.com/DanielCameronKY,https://www.facebook.com/DanielCameronKY,https://www.instagram.com/danieljaycameron,https://www.youtube.com/channel/UCfbtpgt_AIV3G4Z_jaUDRKQ,99,99,,
